match,league,date,market,selection,model_prob,bookmaker_odds,implied_prob,edge,kelly_stake,confidence,timestamp,,result,home_score,away_score
CA Paranaense vs Coritiba FBC,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Угловые,Меньше 11.5,0.7114,1.39,0.7194,0.0423,0.0,📌 НИЗКАЯ,"['36.6', '2026-03-22T12:38:02']",?,,
CA Paranaense vs Coritiba FBC,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Угловые,Меньше 10.5,0.613,1.67,0.5988,0.0561,3.98,📌 НИЗКАЯ,"['32.9', '2026-03-22T12:38:02']",?,,
CA Paranaense vs Coritiba FBC,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Тотал,Меньше 3.5,0.5927,1.72,0.5814,0.0501,3.03,📌 НИЗКАЯ,"['29.4', '2026-03-22T12:38:02']",?,,
CA Paranaense vs Coritiba FBC,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Двойной шанс,X2,0.5822,1.7,0.5882,0.0352,0.0,📌 НИЗКАЯ,"['24.1', '2026-03-22T12:38:02']",?,,
Cruzeiro EC vs Santos,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Угловые,Больше 8.5,0.5922,1.79,0.5587,0.0726,8.54,✅ СРЕДНЯЯ,"['44.2', '2026-03-22T12:40:26']",?,,
Cruzeiro EC vs Santos,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Тотал,Больше 2.5,0.5985,1.74,0.5747,0.0624,6.28,📌 НИЗКАЯ,"['33.6', '2026-03-22T12:40:26']",?,,
Cruzeiro EC vs Santos,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Обе забьют,Да,0.6158,1.64,0.6098,0.0487,1.75,📌 НИЗКАЯ,"['30.9', '2026-03-22T12:40:26']",?,,
CR Vasco da Gama vs Grêmio FBPA,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Угловые,Больше 8.5,0.637,1.63,0.6135,0.0665,6.85,📌 НИЗКАЯ,"['37.9', '2026-03-22T12:42:48']",?,,
CR Vasco da Gama vs Grêmio FBPA,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Тотал,Больше 2.5,0.639,1.61,0.6211,0.0582,5.3,📌 НИЗКАЯ,"['35.6', '2026-03-22T12:42:48']",?,,
CR Vasco da Gama vs Grêmio FBPA,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Угловые,Больше 9.5,0.5289,2.08,0.4808,0.0817,10.42,📌 НИЗКАЯ,"['33.8', '2026-03-22T12:42:48']",?,,
CR Vasco da Gama vs Grêmio FBPA,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Угловые хозяев,Больше 4.5,0.5582,1.89,0.5291,0.0662,6.96,📌 НИЗКАЯ,"['31.5', '2026-03-22T12:42:48']",?,,
CR Vasco da Gama vs Grêmio FBPA,Жюпиле Про Лига (Бельгия),2026-03-22,22:00,Обе забьют,Да,0.6414,1.55,0.6452,0.0414,0.0,📌 НИЗКАЯ,"['30.7', '2026-03-22T12:42:48']",?,,
