match,league,date,market,selection,model_prob,bookmaker_odds,implied_prob,edge,kelly_stake,confidence,timestamp
Valencia CF vs CA Osasuna,Ла Лига,2026-03-01,15:15,Исход,Победа хозяев (1),0.5278,2.52,0.3968,0.131,54.3,🔥 ВЫСОКАЯ,2026-02-26T19:06:09
Valencia CF vs CA Osasuna,Ла Лига,2026-03-01,15:15,Тотал,Больше 2.5,0.5119,2.34,0.4274,0.0846,36.92,✅ СРЕДНЯЯ,2026-02-26T19:06:09
Real Betis Balompié vs Sevilla,Ла Лига,2026-03-01,17:30,Исход,Победа хозяев (1),0.6644,1.89,0.5291,0.1353,71.82,🔥 ВЫСОКАЯ,2026-02-26T19:06:10
Real Betis Balompié vs Sevilla,Ла Лига,2026-03-01,17:30,Тотал,Больше 2.5,0.5688,2.06,0.4854,0.0834,40.52,🔥 ВЫСОКАЯ,2026-02-26T19:06:10
Oita Trinita vs RC Celta de Vigo,Ла Лига,2026-03-01,20:00,Исход,Ничья (X),0.5408,3.45,0.2899,0.251,88.36,🔥 ВЫСОКАЯ,2026-02-26T19:06:25
Oita Trinita vs RC Celta de Vigo,Ла Лига,2026-03-01,20:00,Тотал,Меньше 2.5,0.9604,1.91,0.5236,0.4368,229.2,🔥 ВЫСОКАЯ,2026-02-26T19:06:25
Real Madrid CF vs Getafe CF,Ла Лига,2026-03-02,20:00,Исход,Победа хозяев (1),0.9053,1.34,0.7463,0.1591,156.73,🔥 ВЫСОКАЯ,2026-02-26T19:06:25
Real Madrid CF vs Getafe CF,Ла Лига,2026-03-02,20:00,Тотал,Больше 2.5,0.7672,1.87,0.5348,0.2325,124.93,🔥 ВЫСОКАЯ,2026-02-26T19:06:25
Rayo Vallecano de Madrid vs Real Oviedo,Ла Лига,2026-03-04,18:00,Тотал,Больше 2.5,0.6067,2.15,0.4651,0.1415,66.16,🔥 ВЫСОКАЯ,2026-02-26T19:06:26
Parma Calcio 1913 vs Cagliari Calcio,Серия А,2026-02-27,19:45,Исход,Победа хозяев (1),0.5923,2.58,0.3876,0.2047,83.58,🔥 ВЫСОКАЯ,2026-02-26T19:06:27
Parma Calcio 1913 vs Cagliari Calcio,Серия А,2026-02-27,19:45,Тотал,Больше 1.5,0.767,1.47,0.6803,0.0867,67.78,🔥 ВЫСОКАЯ,2026-02-26T19:06:27
Parma Calcio 1913 vs Cagliari Calcio,Серия А,2026-02-27,19:45,Тотал,Больше 2.5,0.5278,2.68,0.3731,0.1547,61.68,🔥 ВЫСОКАЯ,2026-02-26T19:06:27
Como 1907 vs US Lecce,Серия А,2026-02-28,14:00,Тотал,Больше 2.5,0.564,2.06,0.4854,0.0786,38.18,✅ СРЕДНЯЯ,2026-02-26T19:06:27
Hellas Verona vs SSC Napoli,Серия А,2026-02-28,17:00,Тотал,Больше 2.5,0.5997,2.35,0.4255,0.1742,75.81,🔥 ВЫСОКАЯ,2026-02-26T19:06:28
Newells Old Boys vs AC Milan,Серия А,2026-03-01,11:30,Исход,Ничья (X),0.5828,4.43,0.2257,0.3571,115.3,🔥 ВЫСОКАЯ,2026-02-26T19:07:23
Newells Old Boys vs AC Milan,Серия А,2026-03-01,11:30,Тотал,Меньше 2.5,0.9728,1.98,0.5051,0.4678,236.28,🔥 ВЫСОКАЯ,2026-02-26T19:07:23
Flandria vs Atalanta BC,Серия А,2026-03-01,14:00,Исход,Ничья (X),0.574,3.75,0.2667,0.3073,104.76,🔥 ВЫСОКАЯ,2026-02-26T19:07:38
Flandria vs Atalanta BC,Серия А,2026-03-01,14:00,Тотал,Меньше 2.5,0.9704,2.06,0.4854,0.4849,235.61,🔥 ВЫСОКАЯ,2026-02-26T19:07:38
Torino vs SS Lazio,Серия А,2026-03-01,17:00,Тотал,Больше 2.5,0.5502,2.54,0.3937,0.1565,64.53,🔥 ВЫСОКАЯ,2026-02-26T19:07:39
AS Roma vs Juventus,Серия А,2026-03-01,19:45,Исход,Победа хозяев (1),0.586,2.76,0.3623,0.2237,87.69,🔥 ВЫСОКАЯ,2026-02-26T19:07:39
AS Roma vs Juventus,Серия А,2026-03-01,19:45,Тотал,Больше 2.5,0.5592,2.37,0.4219,0.1372,59.35,🔥 ВЫСОКАЯ,2026-02-26T19:07:39
AC Pisa 1909 vs Bologna 1909,Серия А,2026-03-02,17:30,Исход,Победа хозяев (1),0.6947,4.15,0.241,0.4538,149.45,🔥 ВЫСОКАЯ,2026-02-26T19:07:40
AC Pisa 1909 vs Bologna 1909,Серия А,2026-03-02,17:30,Тотал,Больше 2.5,0.6384,2.24,0.4464,0.1919,86.68,🔥 ВЫСОКАЯ,2026-02-26T19:07:40
Udinese Calcio vs ACF Fiorentina,Серия А,2026-03-02,19:45,Тотал,Больше 2.5,0.5406,2.09,0.4785,0.0621,29.76,✅ СРЕДНЯЯ,2026-02-26T19:07:41
Augsburg vs Belgium,Бундеслига,2026-02-27,19:30,Исход,Ничья (X),0.5833,3.65,0.274,0.3093,106.5,🔥 ВЫСОКАЯ,2026-02-26T19:07:56
Augsburg vs Belgium,Бундеслига,2026-02-27,19:30,Тотал,Меньше 2.5,0.973,2.17,0.4608,0.5121,237.46,🔥 ВЫСОКАЯ,2026-02-26T19:07:56
Borussia Mönchengladbach vs 1. Union Berlin,Бундеслига,2026-02-28,14:30,Исход,Победа хозяев (1),0.8517,2.49,0.4016,0.4501,188.05,🔥 ВЫСОКАЯ,2026-02-26T19:07:56
Borussia Mönchengladbach vs 1. Union Berlin,Бундеслига,2026-02-28,14:30,Тотал,Больше 2.5,0.7448,2.12,0.4717,0.2731,129.24,🔥 ВЫСОКАЯ,2026-02-26T19:07:56
SV Werder Bremen vs 1. Heidenheim 1846,Бундеслига,2026-02-28,14:30,Исход,Победа хозяев (1),0.6754,1.84,0.5435,0.1319,72.25,🔥 ВЫСОКАЯ,2026-02-26T19:07:57
TSG 1899 Hoffenheim vs St. Pauli 1910,Бундеслига,2026-02-28,14:30,Исход,Победа хозяев (1),0.7065,1.52,0.6579,0.0486,35.49,🔥 ВЫСОКАЯ,2026-02-26T19:07:57
TSG 1899 Hoffenheim vs St. Pauli 1910,Бундеслига,2026-02-28,14:30,Тотал,Больше 2.5,0.6278,1.83,0.5464,0.0814,44.87,🔥 ВЫСОКАЯ,2026-02-26T19:07:57
Bayer 04 Leverkusen vs 1. FSV Mainz 05,Бундеслига,2026-02-28,14:30,Исход,Победа хозяев (1),0.8753,1.75,0.5714,0.3039,177.28,🔥 ВЫСОКАЯ,2026-02-26T19:07:58
Bayer 04 Leverkusen vs 1. FSV Mainz 05,Бундеслига,2026-02-28,14:30,Тотал,Больше 2.5,0.7339,1.73,0.578,0.1558,92.33,🔥 ВЫСОКАЯ,2026-02-26T19:07:58
Borussia Dortmund vs Bayern München,Бундеслига,2026-02-28,17:30,Исход,Победа хозяев (1),0.505,5.0,0.2,0.305,95.3,🔥 ВЫСОКАЯ,2026-02-26T19:07:59
VfB Stuttgart vs VfL Wolfsburg,Бундеслига,2026-03-01,14:30,Исход,Победа хозяев (1),0.6982,1.59,0.6289,0.0692,46.65,🔥 ВЫСОКАЯ,2026-02-26T19:07:59
Eintracht Frankfurt vs SC Freiburg,Бундеслига,2026-03-01,16:30,Исход,Победа хозяев (1),0.6709,2.28,0.4386,0.2323,103.45,🔥 ВЫСОКАЯ,2026-02-26T19:08:00
Eintracht Frankfurt vs SC Freiburg,Бундеслига,2026-03-01,16:30,Тотал,Больше 2.5,0.6112,1.84,0.5435,0.0677,37.07,🔥 ВЫСОКАЯ,2026-02-26T19:08:00
Uruguay vs RB Leipzig,Бундеслига,2026-03-01,18:30,Исход,Ничья (X),0.5715,4.0,0.25,0.3215,107.16,🔥 ВЫСОКАЯ,2026-02-26T19:08:15
Uruguay vs RB Leipzig,Бундеслига,2026-03-01,18:30,Тотал,Меньше 2.5,0.9696,2.4,0.4167,0.553,236.98,🔥 ВЫСОКАЯ,2026-02-26T19:08:15
Uruguay vs RB Leipzig,Бундеслига,2026-03-01,18:30,Тотал,Меньше 3.5,0.9951,1.65,0.6061,0.389,246.89,🔥 ВЫСОКАЯ,2026-02-26T19:08:15
Uruguay vs Bayer 04 Leverkusen,Бундеслига,2026-03-04,19:30,Исход,Ничья (X),0.571,3.8,0.2632,0.3079,104.46,🔥 ВЫСОКАЯ,2026-02-26T19:08:15
